Ro	tau	E	lat	lon
0.192449674	0	0.0	38.83546125	22.51855125
0.02147171	0	0.0	38.83546292	22.51913917
0.865857858	0	0.0	38.82762667	22.51030833
0.203821524	0	0.0	38.8356	22.520055
0.00630924	0	0.0	38.83576458	22.52080917
0.182106843	0	0.0	38.83650417	22.52540583
1.566638658	0.6241727	920.7	38.83452	22.52295167
0.045507469	0	0.0	38.834805	22.52481417
0.260019052	0	0.0	38.834995	22.52580333
0.174518763	0	0.0	38.8351	22.526495
0.175583004	0	0.0	38.83901083	22.53259917
0.055126012	0	0.0	38.84036333	22.532995
0.015174591	0	0.0	38.840545	22.53425
0.163726509	0	0.0	38.82812056	22.50403889
0.093705543	0	0.0	38.82897611	22.50981556
0.007867145	0	0.0	38.82904278	22.51051333
0.195571899	0	0.0	38.84212833	22.542835
0.442103719	0	0.0	38.87844167	22.51441389
0.178669037	0	0.0	38.84315	22.54209167
0.007520197	0	0.0	38.82544485	22.53665267
0.107296009	0	0.0	38.8244774	22.53241097
0.060633657	0	0.0	38.82384994	22.53067665
0.008566265	0	0.0	38.87732833	22.51783667
0.312171496	0	0.0	38.87717	22.51824167
0.174183623	0	0.0	38.82363326	22.52937267
0.169104494	0	0.0	38.81850535	22.53035584
0.005495861	0	0.0	38.87887292	22.522045
0.207560887	0	0.0	38.88138405	22.51881445
0.084198338	0	0.0	38.87485	22.52594167
0.330506838	0	0.0	38.87661125	22.52592167
0.013555617	0	0.0	38.88061336	22.52131726
0.055207057	0	0.0	38.8779775	22.5249675
0.012959298	0	0.0	38.87757583	22.52638833
0.137551917	0	0.0	38.879045	22.52617167
0.313158546	0	0.0	38.87861333	22.52760333
0.009405249	0	0.0	38.88325167	22.52204917
0.729349065	0	0.0	38.89323667	22.51847333
0.503295518	0	0.0	38.8803575	22.52721417
0.393198059	0	0.0	38.81742597	22.52882394
0.020555123	0	0.0	38.88169287	22.51360688
1.997906101	0.7962271	1174.4	38.88157056	22.51831778
1.189124723	0.3002603	442.9	38.88124833	22.519335
0.847149338	0	0.0	38.88126167	22.519365
0.011802719	0	0.0	38.88572333	22.5189275
0.021230784	0	0.0	38.88573667	22.51891333
0.061438215	0	0.0	38.88800083	22.51651583
4.549643316	0.98888	1458.6	38.89051	22.5180225
2.215861105	0.8468767	1249.1	38.84315667	22.54175833
0.446429276	0	0.0	38.84315667	22.54175833
0.034728144	0	0.0	38.88172116	22.49602089
0.081072221	0	0.0	38.87871869	22.49658338
0.031627906	0	0.0	38.82416845	22.49925935
0.025207786	0	0.0	38.82399377	22.50689085
0.38411269	0	0.0	38.82917885	22.51209079
0.14874065	0	0.0	38.83902495	22.50140445
0.050066031	0	0.0	38.83994311	22.50780552
0.098410229	0	0.0	38.84016724	22.50911471
0.78389373	0	0.0	38.84079789	22.50360053
0.136102479	0	0.0	38.84058077	22.50198253
0.175395269	0	0.0	38.84033179	22.50040167
0.025954729	0	0.0	38.83993226	22.49734164
0.17188024	0	0.0	38.83992147	22.49669602
0.308553778	0	0.0	38.85158583	22.50018045
0.979229662	0	0.0	38.85462248	22.5007478
0.254542317	0	0.0	38.85483304	22.502265
0.963999488	0	0.0	38.83378	22.517745
1.010775544	0.03732134	55.0	38.835155	22.52741333
0.014867682	0	0.0	38.84157833	22.54101167
0.05440161	0	0.0	38.87659	22.52031333
0.269768554	0	0.0	38.87896667	22.52174083
0.979923676	0	0.0	38.82388262	22.50669486
0.447619386	0	0.0	38.82929226	22.51291644
0.022357905	0	0.0	38.84102015	22.50442313
0.372217178	0	0.0	38.84067303	22.50272363
0.503436457	0	0.0	38.84042031	22.5011223
0.711968604	0	0.0	38.84034837	22.4994367
0.369677393	0	0.0	38.49536023	22.974598
0.042330965	0	0.0	38.77675496	22.77150179
